Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OF1         VERTICALLY    AREA         True                       71        8.69751e-05  8.13007e-05           1.24658e-05       71       29                23               6               17           26.087             73.913
OF1         VERTICALLY    PERIMETER    True                       84.8571   9.25064e-05  8.86917e-05           8.04287e-06       84.8571  15.1429           23               7               16           30.4348            69.5652
OF1         VERTICALLY    HEIGHT       True                       95        0.000108004  0.000104904           4.99884e-06       95        5                23               8               15           34.7826            65.2174
OF1         VERTICALLY    WIDTH        True                       75.5714   0.00010376   0.000100374           8.57432e-06       75.5714  24.4286           23               8               15           34.7826            65.2174
OF1         VERTICALLY    ID           True                       74.5714   0.000113153  0.000110388           5.43803e-06       74.5714  25.4286           23               9               14           39.1304            60.8696
OF1         HORIZONTALLY  AREA         True                       80.8929   7.71046e-05  7.48634e-05           5.38129e-06       80.8929  19.1071           23               7               16           30.4348            69.5652
OF1         HORIZONTALLY  PERIMETER    True                       77.7857   6.67572e-05  6.41346e-05           6.8439e-06        77.7857  22.2143           23               5               18           21.7391            78.2609
OF1         HORIZONTALLY  HEIGHT       True                       90.4286   8.51154e-05  8.34465e-05           4.89775e-06       90.4286   9.57143          23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  WIDTH        True                       60.25     8.81672e-05  8.58307e-05           5.27848e-06       60.25    39.75             23               6               17           26.087             73.913
OF1         HORIZONTALLY  ID           True                       69.1071   9.54628e-05  9.41753e-05           5.97209e-06       69.1071  30.8929           23               8               15           34.7826            65.2174
OF1         MAX_AREA      AREA         True                       75.7143   0.000147247  0.000145674           8.66821e-06       75.7143  24.2857           23               6               17           26.087             73.913
OF1         MAX_AREA      PERIMETER    True                       83.1786   0.000163364  0.000159979           9.65215e-06       83.1786  16.8214           23               7               16           30.4348            69.5652
OF1         MAX_AREA      HEIGHT       True                       95        0.000195026  0.000192881           1.02625e-05       95        5                23               8               15           34.7826            65.2174
OF1         MAX_AREA      WIDTH        True                       74.75     0.000170326  0.000166416           9.67709e-06       74.75    25.25             23               7               16           30.4348            69.5652
OF1         MAX_AREA      ID           True                       51.4286   0.000172853  0.000170708           7.18744e-06       51.4286  48.5714           23               7               16           30.4348            69.5652
OF1         NONE          AREA         True                       80.8929   0.00123076   0.00122166            1.636e-05         80.8929  19.1071           23               7               16           30.4348            69.5652
OF1         NONE          PERIMETER    True                       84.8571   0.00121098   0.00121117            6.38214e-06       84.8571  15.1429           23               7               16           30.4348            69.5652
OF1         NONE          HEIGHT       True                       95        0.00144744   0.00144935            6.46989e-06       95        5                23               8               15           34.7826            65.2174
OF1         NONE          WIDTH        True                       81.0357   0.00174747   0.00174236            1.86135e-05       81.0357  18.9643           23               8               15           34.7826            65.2174
OF1         NONE          ID           True                       74.5714   0.00252275   0.00252056            2.44648e-05       74.5714  25.4286           23               9               14           39.1304            60.8696
