Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

GCUT01      VERTICALLY    AREA         False                      62.0688   4.87804e-05  4.76837e-05           4.70742e-06       62.0688   37.9312          10               4                6                40                 60
GCUT01      VERTICALLY    PERIMETER    False                      63.48     4.91142e-05  4.74453e-05           3.51051e-06       63.48     36.52            10               4                6                40                 60
GCUT01      VERTICALLY    HEIGHT       False                      46.784    3.56674e-05  3.50475e-05           3.2988e-06        46.784    53.216           10               3                7                30                 70
GCUT01      VERTICALLY    WIDTH        False                      43.4768   3.65734e-05  3.57628e-05           3.43389e-06       43.4768   56.5232          10               3                7                30                 70
GCUT01      VERTICALLY    ID           False                      77.3888   3.35693e-05  3.19481e-05           3.88381e-06       77.3888   22.6112          10               3                7                30                 70
GCUT01      HORIZONTALLY  AREA         False                      43.8528   3.87669e-05  3.71933e-05           3.34331e-06       43.8528   56.1472          10               3                7                30                 70
GCUT01      HORIZONTALLY  PERIMETER    False                      43.8528   3.94344e-05  3.8147e-05            3.98266e-06       43.8528   56.1472          10               3                7                30                 70
GCUT01      HORIZONTALLY  HEIGHT       False                      31.1552   2.9707e-05   2.88486e-05           4.04216e-06       31.1552   68.8448          10               2                8                20                 80
GCUT01      HORIZONTALLY  WIDTH        False                      43.8528   4.03404e-05  3.79086e-05           4.25268e-06       43.8528   56.1472          10               3                7                30                 70
GCUT01      HORIZONTALLY  ID           False                      67.7568   2.40803e-05  2.24113e-05           3.68432e-06       67.7568   32.2432          10               2                8                20                 80
GCUT01      MAX_AREA      AREA         False                      62.0688   9.4986e-05   9.03606e-05           8.04937e-06       62.0688   37.9312          10               4                6                40                 60
GCUT01      MAX_AREA      PERIMETER    False                      63.48     9.43661e-05  9.36985e-05           6.59933e-06       63.48     36.52            10               4                6                40                 60
GCUT01      MAX_AREA      HEIGHT       False                      46.784    7.03812e-05  6.8903e-05            5.99261e-06       46.784    53.216           10               3                7                30                 70
GCUT01      MAX_AREA      WIDTH        False                      62.0688   9.52721e-05  9.32217e-05           6.88134e-06       62.0688   37.9312          10               4                6                40                 60
GCUT01      MAX_AREA      ID           False                      77.3888   6.73294e-05  6.4373e-05            6.78819e-06       77.3888   22.6112          10               3                7                30                 70
GCUT01      NONE          AREA         False                      62.0688   0.000469971  0.000468969           7.78341e-06       62.0688   37.9312          10               4                6                40                 60
GCUT01      NONE          PERIMETER    False                      63.48     0.000582457  0.000579357           8.19966e-06       63.48     36.52            10               4                6                40                 60
GCUT01      NONE          HEIGHT       False                      49.7472   0.000371695  0.000368357           9.96122e-06       49.7472   50.2528          10               3                7                30                 70
GCUT01      NONE          WIDTH        False                      62.0688   0.000229025  0.000225544           1.00471e-05       62.0688   37.9312          10               4                6                40                 60
GCUT01      NONE          ID           False                      77.3888   0.000114298  0.000111818           7.08645e-06       77.3888   22.6112          10               3                7                30                 70
