Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time        Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
GCUT01      VERTICALLY    PERIMETER    False                      63.48     4.91142e-05   4.74453e-05           3.51051e-06       63.48    36.52             10               4                6          40                 60
GCUT01      HORIZONTALLY  PERIMETER    True                       67.3808   2.70367e-05   2.55108e-05           3.05548e-06       67.3808  32.6192           10               2                8          20                 80
GCUT01      HORIZONTALLY  PERIMETER    False                      43.8528   3.94344e-05   3.8147e-05            3.98266e-06       43.8528  56.1472           10               3                7          30                 70
GCUT01      MAX_AREA      PERIMETER    True                       67.3808   5.00679e-05   4.79221e-05           5.39901e-06       67.3808  32.6192           10               2                8          20                 80
GCUT01      MAX_AREA      PERIMETER    False                      63.48     9.43661e-05   9.36985e-05           6.59933e-06       63.48    36.52             10               4                6          40                 60
GCUT01      NONE          PERIMETER    True                       67.3808   5.62191e-05   5.29289e-05           5.51649e-06       67.3808  32.6192           10               2                8          20                 80
GCUT01      NONE          PERIMETER    False                      63.48     0.000582457   0.000579357           8.19966e-06       63.48    36.52             10               4                6          40                 60
GCUT02      VERTICALLY    PERIMETER    True                       75.976    4.04358e-05   3.83854e-05           4.7243e-06        75.976   24.024            20               3               17          15                 85
GCUT02      VERTICALLY    PERIMETER    False                      50.1248   5.53131e-05   5.36442e-05           3.59056e-06       50.1248  49.8752           20               4               16          20                 80
GCUT02      HORIZONTALLY  PERIMETER    True                       65.656    3.33309e-05   3.09944e-05           4.57217e-06       65.656   34.344            20               2               18          10                 90
GCUT02      HORIZONTALLY  PERIMETER    False                      63.64     7.45773e-05   7.1764e-05            4.57962e-06       63.64    36.36             20               5               15          25                 75
GCUT02      MAX_AREA      PERIMETER    True                       77.6864   7.55787e-05   7.36713e-05           5.48259e-06       77.6864  22.3136           20               3               17          15                 85
GCUT02      MAX_AREA      PERIMETER    False                      41.5536   0.00010128    9.84669e-05           7.15319e-06       41.5536  58.4464           20               4               16          20                 80
GCUT02      NONE          PERIMETER    True                       77.6864   0.000129747   0.000126123           7.01032e-06       77.6864  22.3136           20               3               17          15                 85
GCUT02      NONE          PERIMETER    False                      76.2352   0.00133896    0.001333              1.48288e-05       76.2352  23.7648           20               6               14          30                 70
GCUT03      VERTICALLY    PERIMETER    True                       86.0608   5.22614e-05   4.91142e-05           7.32128e-06       86.0608  13.9392           30               3               27          10                 90
GCUT03      VERTICALLY    PERIMETER    False                      68.3104   9.47475e-05   9.34601e-05           5.55183e-06       68.3104  31.6896           30               6               24          20                 80
GCUT03      HORIZONTALLY  PERIMETER    True                       93.5504   6.18935e-05   5.96046e-05           4.9797e-06        93.5504   6.4496           30               4               26          13.3333            86.6667
GCUT03      HORIZONTALLY  PERIMETER    False                      61.6464   8.08716e-05   7.77245e-05           7.1325e-06        61.6464  38.3536           30               5               25          16.6667            83.3333
GCUT03      MAX_AREA      PERIMETER    True                       93.5504   0.000107527   0.000104189           5.36309e-06       93.5504   6.4496           30               4               26          13.3333            86.6667
GCUT03      MAX_AREA      PERIMETER    False                      41.5568   0.00011158    0.000107288           9.37807e-06       41.5568  58.4432           30               4               26          13.3333            86.6667
GCUT03      NONE          PERIMETER    True                       86.0608   0.000366545   0.000361919           1.24249e-05       86.0608  13.9392           30               3               27          10                 90
GCUT03      NONE          PERIMETER    False                      68.104    0.00317931    0.00317574            1.22e-05          68.104   31.896            30               6               24          20                 80
GCUT04      VERTICALLY    PERIMETER    True                       92.816    7.41959e-05   6.55651e-05           1.82818e-05       92.816    7.184            50               4               46           8                 92
GCUT04      VERTICALLY    PERIMETER    False                      58.848    0.000107574   0.000104427           6.66447e-06       58.848   41.152            50               6               44          12                 88
GCUT04      HORIZONTALLY  PERIMETER    True                       83.6768   6.11782e-05   5.81741e-05           5.58246e-06       83.6768  16.3232           50               3               47           6                 94
