Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
OKP4        VERTICALLY    WIDTH        False                      76.85     0.000437069  0.000433683           1.11883e-05       76.85     23.15            61              23               38           37.7049            62.2951
OKP4        VERTICALLY    ID           False                      77.85     0.000292015  0.000287294           8.86122e-06       77.85     22.15            61              16               45           26.2295            73.7705
OKP4        HORIZONTALLY  AREA         False                      67.5      0.000247526  0.000244617           7.37388e-06       67.5      32.5             61              16               45           26.2295            73.7705
OKP4        HORIZONTALLY  PERIMETER    False                      69.52     0.000233459  0.00022912            8.68498e-06       69.52     30.48            61              15               46           24.5902            75.4098
OKP4        HORIZONTALLY  HEIGHT       False                      68.35     0.0002285    0.000226736           7.61537e-06       68.35     31.65            61              14               47           22.9508            77.0492
OKP4        HORIZONTALLY  WIDTH        False                      49.89     0.000225115  0.00022006            9.50976e-06       49.89     50.11            61              16               45           26.2295            73.7705
OKP4        HORIZONTALLY  ID           False                      82.37     0.000161505  0.000156879           8.43692e-06       82.37     17.63            61              13               48           21.3115            78.6885
OKP4        MAX_AREA      AREA         False                      73.77     0.000670385  0.000658989           2.32994e-05       73.77     26.23            61              23               38           37.7049            62.2951
OKP4        MAX_AREA      PERIMETER    False                      68.15     0.000517893  0.000509501           2.09208e-05       68.15     31.85            61              18               43           29.5082            70.4918
OKP4        MAX_AREA      HEIGHT       False                      70.55     0.00036664   0.000361443           1.57207e-05       70.55     29.45            61              15               46           24.5902            75.4098
OKP4        MAX_AREA      WIDTH        False                      76.85     0.000737238  0.000687361           0.000132178       76.85     23.15            61              23               38           37.7049            62.2951
OKP4        MAX_AREA      ID           False                      78.41     0.000320768  0.000295639           4.43955e-05       78.41     21.59            61              12               49           19.6721            80.3279
OKP4        NONE          AREA         False                      73.77     0.0260915    0.0261126             8.77452e-05       73.77     26.23            61              23               38           37.7049            62.2951
OKP4        NONE          PERIMETER    False                      70.57     0.0238347    0.0238249             6.12852e-05       70.57     29.43            61              18               43           29.5082            70.4918
OKP4        NONE          HEIGHT       False                      82.15     0.0191098    0.0190756             9.23725e-05       82.15     17.85            61              15               46           24.5902            75.4098
OKP4        NONE          WIDTH        False                      78.85     0.0120415    0.0120695             7.63525e-05       78.85     21.15            61              24               37           39.3443            60.6557
OKP4        NONE          ID           False                      77.85     0.00503736   0.00503492            1.48865e-05       77.85     22.15            61              16               45           26.2295            73.7705
OKP5        VERTICALLY    AREA         False                      58.74     0.000478125  0.000473499           7.85928e-06       58.74     41.26            97              22               75           22.6804            77.3196
OKP5        VERTICALLY    PERIMETER    False                      64.23     0.000298357  0.000295877           1.01092e-05       64.23     35.77            97              18               79           18.5567            81.4433
OKP5        VERTICALLY    HEIGHT       False                      83.79     0.000238085  0.000234365           8.11548e-06       83.79     16.21            97              19               78           19.5876            80.4124
OKP5        VERTICALLY    WIDTH        False                      74.86     0.000524998  0.000517368           1.19238e-05       74.86     25.14            97              24               73           24.7423            75.2577
OKP5        VERTICALLY    ID           False                      76.46     0.000355959  0.000343561           2.48116e-05       76.46     23.54            97              18               79           18.5567            81.4433
OKP5        HORIZONTALLY  AREA         False                      62.2      0.000425053  0.000422001           7.88931e-06       62.2      37.8             97              21               76           21.6495            78.3505
OKP5        HORIZONTALLY  PERIMETER    False                      75.96     0.000391293  0.000383377           1.0532e-05        75.96     24.04            97              21               76           21.6495            78.3505
OKP5        HORIZONTALLY  HEIGHT       False                      58.19     0.000386477  0.000385046           8.47644e-06       58.19     41.81            97              15               82           15.4639            84.5361
OKP5        HORIZONTALLY  WIDTH        False                      70.21     0.00038805   0.000383615           1.09003e-05       70.21     29.79            97              22               75           22.6804            77.3196
OKP5        HORIZONTALLY  ID           False                      80.3      0.00025239   0.00025034            1.60664e-05       80.3      19.7             97              17               80           17.5258            82.4742
OKP5        MAX_AREA      AREA         False                      58.74     0.000707722  0.000699997           2.01351e-05       58.74     41.26            97              22               75           22.6804            77.3196
OKP5        MAX_AREA      PERIMETER    False                      69.06     0.000460052  0.000451565           1.68672e-05       69.06     30.94            97              17               80           17.5258            82.4742
OKP5        MAX_AREA      HEIGHT       False                      79.11     0.000539827  0.000530243           2.03098e-05       79.11     20.89            97              18               79           18.5567            81.4433
OKP5        MAX_AREA      WIDTH        False                      74.86     0.0008008    0.000794172           1.6351e-05        74.86     25.14            97              24               73           24.7423            75.2577
OKP5        MAX_AREA      ID           False                      66.86     0.000523663  0.000516415           1.41755e-05       66.86     33.14            97              16               81           16.4948            83.5052
OKP5        NONE          AREA         False                      83.74     0.101231     0.101647              0.000741124       83.74     16.26            97              27               70           27.8351            72.1649
OKP5        NONE          PERIMETER    False                      72.24     0.0847682    0.0844953             0.000928251       72.24     27.76            97              19               78           19.5876            80.4124
OKP5        NONE          HEIGHT       False                      74.15     0.0703918    0.0702412             0.000602994       74.15     25.85            97              17               80           17.5258            82.4742
OKP5        NONE          WIDTH        False                      74.86     0.0895785    0.0896611             0.00121728        74.86     25.14            97              24               73           24.7423            75.2577
OKP5        NONE          ID           False                      89.9      0.0277001    0.0276105             0.000426362       89.9      10.1             97              19               78           19.5876            80.4124
